"Produk","BatchId","PurchaseDate","ExpiryDate","StatusExpiry","Qty","Satuan","UnitCost","DiscountPercent"
"Roti Tawar 400g","c0000008-0000-0000-0000-000000000008","2025-12-11 13:00","2025-12-15","EXPIRED","6","pak","11000","50"
"Roti Tawar 400g","c0000009-0000-0000-0000-000000000009","2025-12-12 13:30","2025-12-20","NEAR_EXPIRY","15","pak","11000","25"
"Yogurt Strawberry 100ml","c0000006-0000-0000-0000-000000000006","2025-12-03 11:00","2025-12-24","NEAR_EXPIRY","18","pcs","8000","30"
"Indomie Goreng","c0000001-0000-0000-0000-000000000001","2025-11-17 08:00","2025-12-27","NEAR_EXPIRY","40","pcs","2500","15"
"Susu UHT 250ml","c0000004-0000-0000-0000-000000000004","2025-11-29 10:00","2025-12-29","NEAR_EXPIRY","12","pcs","6000","20"
"Sosis Ayam 500g","c0000010-0000-0000-0000-000000000010","2025-12-08 14:00","2026-02-15","OK","25","pak","20000",
"Yogurt Strawberry 100ml","c0000007-0000-0000-0000-000000000007","2025-12-05 11:30","2026-03-17","OK","20","pcs","8000",
"Indomie Goreng","c0000002-0000-0000-0000-000000000002","2025-11-22 08:30","2026-04-16","OK","80","pcs","2500",
"Teh Botol 350ml","c0000003-0000-0000-0000-000000000003","2025-11-25 09:00","2026-06-15","OK","90","btl","3500",
"Susu UHT 250ml","c0000005-0000-0000-0000-000000000005","2025-12-01 10:30","2026-07-05","OK","50","pcs","6000",
"Kopi Sachet","c0000012-0000-0000-0000-000000000012","2025-12-10 16:00","2026-10-13","OK","150","pcs","1500",
"Air Mineral 600ml","c0000011-0000-0000-0000-000000000011","2025-12-09 15:00","2026-12-17","OK","120","btl","2000",
